code,name,condition
M660,Rupture of popliteal cyst,Arthritis/Joint/Bone Pain (Other than Back/Neck)
M6610,"Rupture of synovium, unspecified joint",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66111,"Rupture of synovium, right shoulder",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66112,"Rupture of synovium, left shoulder",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66119,"Rupture of synovium, unspecified shoulder",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66121,"Rupture of synovium, right elbow",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66122,"Rupture of synovium, left elbow",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66129,"Rupture of synovium, unspecified elbow",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66131,"Rupture of synovium, right wrist",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66132,"Rupture of synovium, left wrist",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66139,"Rupture of synovium, unspecified wrist",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66141,"Rupture of synovium, right hand",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66142,"Rupture of synovium, left hand",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66143,"Rupture of synovium, unspecified hand",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66144,"Rupture of synovium, right finger(s)",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66145,"Rupture of synovium, left finger(s)",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66146,"Rupture of synovium, unspecified finger(s)",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66151,"Rupture of synovium, right hip",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66152,"Rupture of synovium, left hip",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66159,"Rupture of synovium, unspecified hip",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66171,"Rupture of synovium, right ankle",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66172,"Rupture of synovium, left ankle",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66173,"Rupture of synovium, unspecified ankle",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66174,"Rupture of synovium, right foot",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66175,"Rupture of synovium, left foot",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66176,"Rupture of synovium, unspecified foot",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66177,"Rupture of synovium, right toe(s)",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66178,"Rupture of synovium, left toe(s)",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66179,"Rupture of synovium, unspecified toe(s)",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M6618,"Rupture of synovium, other site",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M6620,"Spontaneous rupture of extensor tendons, unspecified site",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66211,"Spontaneous rupture of extensor tendons, right shoulder",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66212,"Spontaneous rupture of extensor tendons, left shoulder",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66219,"Spontaneous rupture of extensor tendons, unspecified shoulder",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66221,"Spontaneous rupture of extensor tendons, right upper arm",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66222,"Spontaneous rupture of extensor tendons, left upper arm",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66229,"Spontaneous rupture of extensor tendons, unspecified upper arm",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66231,"Spontaneous rupture of extensor tendons, right forearm",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66232,"Spontaneous rupture of extensor tendons, left forearm",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66239,"Spontaneous rupture of extensor tendons, unspecified forearm",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66241,"Spontaneous rupture of extensor tendons, right hand",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66242,"Spontaneous rupture of extensor tendons, left hand",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66249,"Spontaneous rupture of extensor tendons, unspecified hand",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66251,"Spontaneous rupture of extensor tendons, right thigh",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66252,"Spontaneous rupture of extensor tendons, left thigh",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66259,"Spontaneous rupture of extensor tendons, unspecified thigh",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66261,"Spontaneous rupture of extensor tendons, right lower leg",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66262,"Spontaneous rupture of extensor tendons, left lower leg",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66269,"Spontaneous rupture of extensor tendons, unspecified lower leg",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66271,"Spontaneous rupture of extensor tendons, right ankle and foot",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66272,"Spontaneous rupture of extensor tendons, left ankle and foot",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66279,"Spontaneous rupture of extensor tendons, unspecified ankle and foot",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M6628,"Spontaneous rupture of extensor tendons, other site",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M6629,"Spontaneous rupture of extensor tendons, multiple sites",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M6630,"Spontaneous rupture of flexor tendons, unspecified site",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66311,"Spontaneous rupture of flexor tendons, right shoulder",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66312,"Spontaneous rupture of flexor tendons, left shoulder",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66319,"Spontaneous rupture of flexor tendons, unspecified shoulder",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66321,"Spontaneous rupture of flexor tendons, right upper arm",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66322,"Spontaneous rupture of flexor tendons, left upper arm",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66329,"Spontaneous rupture of flexor tendons, unspecified upper arm",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66331,"Spontaneous rupture of flexor tendons, right forearm",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66332,"Spontaneous rupture of flexor tendons, left forearm",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66339,"Spontaneous rupture of flexor tendons, unspecified forearm",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66341,"Spontaneous rupture of flexor tendons, right hand",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66342,"Spontaneous rupture of flexor tendons, left hand",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66349,"Spontaneous rupture of flexor tendons, unspecified hand",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66351,"Spontaneous rupture of flexor tendons, right thigh",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66352,"Spontaneous rupture of flexor tendons, left thigh",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66359,"Spontaneous rupture of flexor tendons, unspecified thigh",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66361,"Spontaneous rupture of flexor tendons, right lower leg",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66362,"Spontaneous rupture of flexor tendons, left lower leg",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66369,"Spontaneous rupture of flexor tendons, unspecified lower leg",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66371,"Spontaneous rupture of flexor tendons, right ankle and foot",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66372,"Spontaneous rupture of flexor tendons, left ankle and foot",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66379,"Spontaneous rupture of flexor tendons, unspecified ankle and foot",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M6638,"Spontaneous rupture of flexor tendons, other site",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M6639,"Spontaneous rupture of flexor tendons, multiple sites",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M6680,"Spontaneous rupture of other tendons, unspecified site",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66811,"Spontaneous rupture of other tendons, right shoulder",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66812,"Spontaneous rupture of other tendons, left shoulder",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66819,"Spontaneous rupture of other tendons, unspecified shoulder",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66821,"Spontaneous rupture of other tendons, right upper arm",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66822,"Spontaneous rupture of other tendons, left upper arm",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66829,"Spontaneous rupture of other tendons, unspecified upper arm",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66831,"Spontaneous rupture of other tendons, right forearm",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66832,"Spontaneous rupture of other tendons, left forearm",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66839,"Spontaneous rupture of other tendons, unspecified forearm",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66841,"Spontaneous rupture of other tendons, right hand",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66842,"Spontaneous rupture of other tendons, left hand",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66849,"Spontaneous rupture of other tendons, unspecified hand",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66851,"Spontaneous rupture of other tendons, right thigh",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66852,"Spontaneous rupture of other tendons, left thigh",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66859,"Spontaneous rupture of other tendons, unspecified thigh",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66861,"Spontaneous rupture of other tendons, right lower leg",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66862,"Spontaneous rupture of other tendons, left lower leg",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66869,"Spontaneous rupture of other tendons, unspecified lower leg",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66871,"Spontaneous rupture of other tendons, right ankle and foot",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66872,"Spontaneous rupture of other tendons, left ankle and foot",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M66879,"Spontaneous rupture of other tendons, unspecified ankle and foot",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M6688,"Spontaneous rupture of other tendons, other",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M6689,"Spontaneous rupture of other tendons, multiple sites",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M669,Spontaneous rupture of unspecified tendon,Arthritis/Joint/Bone Pain (Other than Back/Neck)
M6700,"Short Achilles tendon (acquired), unspecified ankle",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M6701,"Short Achilles tendon (acquired), right ankle",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M6702,"Short Achilles tendon (acquired), left ankle",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M6720,"Synovial hypertrophy, not elsewhere classified, unspecified site",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67211,"Synovial hypertrophy, not elsewhere classified, right shoulder",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67212,"Synovial hypertrophy, not elsewhere classified, left shoulder",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67219,"Synovial hypertrophy, not elsewhere classified, unspecified shoulder",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67221,"Synovial hypertrophy, not elsewhere classified, right upper arm",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67222,"Synovial hypertrophy, not elsewhere classified, left upper arm",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67229,"Synovial hypertrophy, not elsewhere classified, unspecified upper arm",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67231,"Synovial hypertrophy, not elsewhere classified, right forearm",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67232,"Synovial hypertrophy, not elsewhere classified, left forearm",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67239,"Synovial hypertrophy, not elsewhere classified, unspecified forearm",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67241,"Synovial hypertrophy, not elsewhere classified, right hand",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67242,"Synovial hypertrophy, not elsewhere classified, left hand",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67249,"Synovial hypertrophy, not elsewhere classified, unspecified hand",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67251,"Synovial hypertrophy, not elsewhere classified, right thigh",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67252,"Synovial hypertrophy, not elsewhere classified, left thigh",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67259,"Synovial hypertrophy, not elsewhere classified, unspecified thigh",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67261,"Synovial hypertrophy, not elsewhere classified, right lower leg",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67262,"Synovial hypertrophy, not elsewhere classified, left lower leg",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67269,"Synovial hypertrophy, not elsewhere classified, unspecified lower leg",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67271,"Synovial hypertrophy, not elsewhere classified, right ankle and foot",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67272,"Synovial hypertrophy, not elsewhere classified, left ankle and foot",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67279,"Synovial hypertrophy, not elsewhere classified, unspecified ankle and foot",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M6728,"Synovial hypertrophy, not elsewhere classified, other site",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M6729,"Synovial hypertrophy, not elsewhere classified, multiple sites",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M6730,"Transient synovitis, unspecified site",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67311,"Transient synovitis, right shoulder",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67312,"Transient synovitis, left shoulder",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67319,"Transient synovitis, unspecified shoulder",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67321,"Transient synovitis, right elbow",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67322,"Transient synovitis, left elbow",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67329,"Transient synovitis, unspecified elbow",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67331,"Transient synovitis, right wrist",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67332,"Transient synovitis, left wrist",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67339,"Transient synovitis, unspecified wrist",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67341,"Transient synovitis, right hand",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67342,"Transient synovitis, left hand",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67349,"Transient synovitis, unspecified hand",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67351,"Transient synovitis, right hip",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67352,"Transient synovitis, left hip",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67359,"Transient synovitis, unspecified hip",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67361,"Transient synovitis, right knee",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67362,"Transient synovitis, left knee",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67369,"Transient synovitis, unspecified knee",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67371,"Transient synovitis, right ankle and foot",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67372,"Transient synovitis, left ankle and foot",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67379,"Transient synovitis, unspecified ankle and foot",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M6738,"Transient synovitis, other site",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M6739,"Transient synovitis, multiple sites",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M6740,"Ganglion, unspecified site",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67411,"Ganglion, right shoulder",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67412,"Ganglion, left shoulder",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67419,"Ganglion, unspecified shoulder",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67421,"Ganglion, right elbow",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67422,"Ganglion, left elbow",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67429,"Ganglion, unspecified elbow",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67431,"Ganglion, right wrist",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67432,"Ganglion, left wrist",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67439,"Ganglion, unspecified wrist",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67441,"Ganglion, right hand",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67442,"Ganglion, left hand",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67449,"Ganglion, unspecified hand",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67451,"Ganglion, right hip",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67452,"Ganglion, left hip",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67459,"Ganglion, unspecified hip",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67461,"Ganglion, right knee",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67462,"Ganglion, left knee",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67469,"Ganglion, unspecified knee",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67471,"Ganglion, right ankle and foot",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67472,"Ganglion, left ankle and foot",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67479,"Ganglion, unspecified ankle and foot",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M6748,"Ganglion, other site",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M6749,"Ganglion, multiple sites",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M6750,"Plica syndrome, unspecified knee",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M6751,"Plica syndrome, right knee",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M6752,"Plica syndrome, left knee",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M6780,"Other specified disorders of synovium and tendon, unspecified site",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67811,"Other specified disorders of synovium, right shoulder",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67812,"Other specified disorders of synovium, left shoulder",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67813,"Other specified disorders of tendon, right shoulder",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67814,"Other specified disorders of tendon, left shoulder",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67819,"Other specified disorders of synovium and tendon, unspecified shoulder",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67821,"Other specified disorders of synovium, right elbow",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67822,"Other specified disorders of synovium, left elbow",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67823,"Other specified disorders of tendon, right elbow",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67824,"Other specified disorders of tendon, left elbow",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67829,"Other specified disorders of synovium and tendon, unspecified elbow",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67831,"Other specified disorders of synovium, right wrist",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67832,"Other specified disorders of synovium, left wrist",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67833,"Other specified disorders of tendon, right wrist",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67834,"Other specified disorders of tendon, left wrist",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67839,"Other specified disorders of synovium and tendon, unspecified forearm",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67841,"Other specified disorders of synovium, right hand",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67842,"Other specified disorders of synovium, left hand",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67843,"Other specified disorders of tendon, right hand",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67844,"Other specified disorders of tendon, left hand",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67849,"Other specified disorders of synovium and tendon, unspecified hand",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67851,"Other specified disorders of synovium, right hip",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67852,"Other specified disorders of synovium, left hip",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67853,"Other specified disorders of tendon, right hip",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67854,"Other specified disorders of tendon, left hip",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67859,"Other specified disorders of synovium and tendon, unspecified hip",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67861,"Other specified disorders of synovium, right knee",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67862,"Other specified disorders of synovium, left knee",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67863,"Other specified disorders of tendon, right knee",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67864,"Other specified disorders of tendon, left knee",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67869,"Other specified disorders of synovium and tendon, unspecified knee",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67871,"Other specified disorders of synovium, right ankle and foot",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67872,"Other specified disorders of synovium, left ankle and foot",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67873,"Other specified disorders of tendon, right ankle and foot",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67874,"Other specified disorders of tendon, left ankle and foot",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67879,"Other specified disorders of synovium and tendon, unspecified ankle and foot",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M6788,"Other specified disorders of synovium and tendon, other site",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M6789,"Other specified disorders of synovium and tendon, multiple sites",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M6790,"Unspecified disorder of synovium and tendon, unspecified site",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67911,"Unspecified disorder of synovium and tendon, right shoulder",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67912,"Unspecified disorder of synovium and tendon, left shoulder",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67919,"Unspecified disorder of synovium and tendon, unspecified shoulder",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67921,"Unspecified disorder of synovium and tendon, right upper arm",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67922,"Unspecified disorder of synovium and tendon, left upper arm",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67929,"Unspecified disorder of synovium and tendon, unspecified upper arm",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67931,"Unspecified disorder of synovium and tendon, right forearm",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67932,"Unspecified disorder of synovium and tendon, left forearm",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67939,"Unspecified disorder of synovium and tendon, unspecified forearm",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67941,"Unspecified disorder of synovium and tendon, right hand",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67942,"Unspecified disorder of synovium and tendon, left hand",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67949,"Unspecified disorder of synovium and tendon, unspecified hand",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67951,"Unspecified disorder of synovium and tendon, right thigh",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67952,"Unspecified disorder of synovium and tendon, left thigh",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67959,"Unspecified disorder of synovium and tendon, unspecified thigh",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67961,"Unspecified disorder of synovium and tendon, right lower leg",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67962,"Unspecified disorder of synovium and tendon, left lower leg",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67969,"Unspecified disorder of synovium and tendon, unspecified lower leg",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67971,"Unspecified disorder of synovium and tendon, right ankle and foot",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67972,"Unspecified disorder of synovium and tendon, left ankle and foot",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M67979,"Unspecified disorder of synovium and tendon, unspecified ankle and foot",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M6798,"Unspecified disorder of synovium and tendon, other site",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M6799,"Unspecified disorder of synovium and tendon, multiple sites",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M70031,"Crepitant synovitis (acute) (chronic), right wrist",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M70032,"Crepitant synovitis (acute) (chronic), left wrist",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M70039,"Crepitant synovitis (acute) (chronic), unspecified wrist",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M70041,"Crepitant synovitis (acute) (chronic), right hand",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M70042,"Crepitant synovitis (acute) (chronic), left hand",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M70049,"Crepitant synovitis (acute) (chronic), unspecified hand",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M7010,"Bursitis, unspecified hand",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M7011,"Bursitis, right hand",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M7012,"Bursitis, left hand",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M7020,"Olecranon bursitis, unspecified elbow",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M7021,"Olecranon bursitis, right elbow",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M7022,"Olecranon bursitis, left elbow",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M7030,"Other bursitis of elbow, unspecified elbow",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M7031,"Other bursitis of elbow, right elbow",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M7032,"Other bursitis of elbow, left elbow",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M7040,"Prepatellar bursitis, unspecified knee",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M7041,"Prepatellar bursitis, right knee",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M7042,"Prepatellar bursitis, left knee",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M7050,"Other bursitis of knee, unspecified knee",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M7051,"Other bursitis of knee, right knee",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M7052,"Other bursitis of knee, left knee",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M7060,"Trochanteric bursitis, unspecified hip",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M7061,"Trochanteric bursitis, right hip",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M7062,"Trochanteric bursitis, left hip",Arthritis/Joint/Bone Pain (Other than Back/Neck)
